!#,!#,!#,!#,!#,,!!#,!!#,!!#,!!#,!!#,,!#,!#,!#,!#,!#
!#,AG,AG,AG,!#,!!#,!!#,AG,AG,AG,!!#,!#,!#,AG,AG,AG,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!#
!#,AG,AG,AG,!#,!#,!#,AG,AG,AG,!#,!#,!#,AG,AG,AG,!#
!#,!#,AG,!#,!#,,!#,!#,SBH,!#,!#,,!#,!#,AG,!#,!#
,!!#,AG,!#,,,,!#,SBH,!#,,,,!#,AG,!!#,
!!#,!!#,I,!#,!#,,!#,!#,AG,!#,!#,,!#,!#,AG,!!#,!!#
!!#,I,I,I,!#,!#,!#,!#,AG,!#,!#,!#,!#,AG,AG,AG,!!#
!!#,I,SBH,I,GT,GT,GT,GT,SP,GT,GT,GT,GT,AG,AG,AG,!!#
!!#,I,I,I,!!#,!!#,!!#,!!#,GT,!!#,!!#,!!#,!!#,AG,AG,AG,!!#
!!#,!!#,I,!!#,!!#,,,!!#,GT,!!#,,,!!#,!!#,AG,!!#,!!#
,!!#,AG,!!#,,,,!!#,GT,!!#,,,,!!#,AG,!!#,
!!#,!!#,AG,!!#,!!#,,!!#,!!#,GT,!!#,!!#,,!!#,!!#,AG,!!#,!!#
!!#,AG,AG,AG,!!#,!!#,!!#,AG,AG,AG,!!#,!!#,!!#,AG,AG,AG,!!#
!!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!!#
!!#,AG,AG,AG,!!#,!!#,!!#,AG,AG,AG,!!#,!!#,!!#,AG,AG,AG,!!#
!!#,!!#,!!#,!!#,!!#,,!!#,!!#,!!#,!!#,!!#,,!!#,!!#,!!#,!!#,!!#
