!#,!#,!#,!#,!#,,!#,!#,!#,!#,!#,,!#,!#,!#,!#,!#
!#,,,,!#,!#,!#,,P,,!#,!#,!#,,,,!#
!#,,,,,,,,,,,,,,,,!#
!#,,,,!#,!#,!#,,,,!#,!#,!#,,,,!#
!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#
,!#,,!#,,,,!#,,!#,,,,!#,,!#,
!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#
!#,,,,!#,!#,!#,!#,,!#,!#,!#,!#,C,,,!#
!#,,,,,,,,,,,,,,,,!#
!#,,,,!#,!#,!#,!#,,!#,!#,!#,!#,,,C,!#
!#,!#,,!#,!#,,,!#,,!#,,,!#,!#,,!#,!#
,!#,,!#,,,,!#,,!#,,,,!#,,!#,
!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#,,!#,!#
!#,,,,!#,!#,!#,,,,!#,!#,!#,,,,!#
!#,,BO,,,,,,BO,,,,,,BO,,!#
!#,,,,!#,!#,!#,,,,!#,!#,!#,,,,!#
!#,!#,!#,!#,!#,,!#,!#,!#,!#,!#,,!#,!#,!#,!#,!#
