,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,
,!#,AG,I,I,I,I,I,I,I,I,I,I,AG,!#,
,!#,I,I,I,I,AG,I,GT,I,AG,I,I,I,!#,
,!#,I,AG,I,I,I,I,I,I,I,I,AG,I,!#,
,!#,I,I,I,I,I,I,I,I,I,I,I,I,!#,
,!#,AG,I,I,I,I,I,I,I,I,I,I,I,!#,
!#,!#,I,I,I,I,I,I,I,I,I,I,I,AG,!#,!#
!#,AG,I,I,I,AG,I,I,I,AG,I,AG,I,SBH,SP,!#
!#,!#,I,I,I,I,I,I,I,I,I,I,I,AG,!#,!#
,!#,AG,I,I,I,I,I,I,I,I,I,I,I,!#,
,!#,I,I,I,I,I,I,I,I,I,I,I,I,!#,
,!#,I,AG,I,I,I,I,I,I,I,I,AG,I,!#,
,!#,I,I,I,I,AG,I,GT,I,AG,I,I,I,!#,
,!#,AG,I,I,I,I,I,I,I,I,I,I,AG,!#,
,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,!#,
